contestId,name,index,points,tags,solvedCount
1028,Order book,D,2000.0,"['combinatorics', 'data structures', 'greedy']",1172
1028,Rectangles,C,1250.0,"['geometry', 'implementation', 'sortings']",2870
1028,Unnatural Conditions,B,750.0,"['constructive algorithms', 'math']",5051
1028,Find Square,A,500.0,['implementation'],6428
1027,X-mouse in the Campus,G,,"['bitmasks', 'math', 'number theory']",117
1027,Session in BSU,F,,"['binary search', 'dfs and similar', 'dsu', 'graph matchings', 'graphs']",527
1027,Inverse Coloring,E,,"['combinatorics', 'dp', 'math']",832
1027,Mouse Hunt,D,,"['dfs and similar', 'graphs']",3152
1027,Minimum Value Rectangle,C,,['greedy'],4031
1027,Numbers on the Chessboard,B,,"['implementation', 'math']",5607
1027,Palindromic Twist,A,,"['implementation', 'strings']",7765
1025,Company Acquisitions,G,3500.0,"['constructive algorithms', 'math']",95
1025,Disjoint Triangles,F,2750.0,['geometry'],260
1025,Colored Cubes,E,2250.0,"['constructive algorithms', 'implementation', 'matrices']",310
1025,Recovering BST,D,1750.0,"['brute force', 'dp', 'math', 'number theory', 'trees']",1713
1025,Plasticine zebra,C,1500.0,"['constructive algorithms', 'implementation']",3847
1025,Weakened Common Divisor,B,1000.0,"['brute force', 'greedy', 'number theory']",4068
1025,Doggo Recoloring,A,500.0,"['implementation', 'sortings']",7050
1023,Pisces,G,4000.0,"['data structures', 'flows', 'trees']",20
1023,Mobile Phone Network,F,3250.0,"['dfs and similar', 'dsu', 'graphs', 'trees']",370
1023,Down or Right,E,2750.0,"['constructive algorithms', 'matrices']",1203
1023,Array Restoration,D,2000.0,"['constructive algorithms', 'data structures']",2654
1023,Bracket Subsequence,C,1500.0,['greedy'],5495
1023,Pair of Toys,B,1000.0,['math'],6155
1023,Single Wildcard Pattern Matching,A,500.0,"['brute force', 'implementation', 'strings']",5329
1020,Badge,B,750.0,"['brute force', 'dfs and similar', 'graphs']",6611
1020,New Building for SIS,A,500.0,['math'],6391
1019,Raining season,E,2250.0,"['data structures', 'divide and conquer', 'trees']",65
1019,Large Triangle,D,2000.0,"['binary search', 'geometry', 'sortings']",251
1019,Sergey's problem,C,1750.0,"['constructive algorithms', 'graphs']",435
1019,The hat,B,1000.0,['binary search'],1060
1019,Elections,A,500.0,"['brute force', 'greedy']",2913
1017,The Films,H,3250.0,['brute force'],31
1017,The Tree,G,3000.0,['data structures'],119
1017,The Neutral Zone,F,2500.0,"['brute force', 'math']",484
1017,The Supersonic Rocket,E,2000.0,"['geometry', 'hashing', 'strings']",509
1017,The Wu,D,1500.0,"['bitmasks', 'brute force', 'data structures']",2132
1017,The Phone Number,C,1500.0,"['constructive algorithms', 'greedy']",3907
1017,The Bits,B,1000.0,"['implementation', 'math']",6298
1017,The Rank,A,500.0,['implementation'],8445
1016,Appropriate Team,G,,"['bitmasks', 'math', 'number theory']",103
1016,Road Projects,F,,"['dfs and similar', 'dp', 'trees']",331
1016,Rest In The Shades,E,,"['binary search', 'geometry']",540
1016,Vasya And The Matrix,D,,"['constructive algorithms', 'flows', 'math']",2561
1016,Vasya And The Mushrooms,C,,"['dp', 'implementation']",2171
1016,Segment Occurrences,B,,"['brute force', 'implementation']",5435
1016,Death Note,A,,"['greedy', 'implementation', 'math']",7669
1015,Bracket Substring,F,,"['dp', 'strings']",345
1015,Stars Drawing (Hard Edition),E2,,"['binary search', 'dp', 'greedy']",1384
1015,Stars Drawing (Easy Edition),E1,,"['brute force', 'dp', 'greedy']",2050
1015,Walking Between Houses,D,,"['constructive algorithms', 'greedy']",3234
1015,Songs Compression,C,,['sortings'],6577
1015,Obtaining the String,B,,['implementation'],5582
1015,Points in Segments,A,,['implementation'],8585
1013,And,B,1000.0,['greedy'],4292
1013,Piles With Stones,A,500.0,['math'],6013
1012,Passports,F,2500.0,"['dp', 'implementation']",30
1012,Cycle sort,E,2500.0,"['dsu', 'math']",83
1012,AB-Strings,D,2250.0,"['constructive algorithms', 'strings']",129
1012,Hills,C,1500.0,['dp'],1392
1012,Chemical table,B,1250.0,"['constructive algorithms', 'dfs and similar', 'dsu', 'graphs', 'matrices']",1836
1012,Photo of The Sky,A,500.0,"['brute force', 'implementation', 'math', 'sortings']",3878
1011,Planning The Expedition,B,1000.0,"['binary search', 'brute force', 'implementation']",5537
1011,Stages,A,500.0,"['greedy', 'implementation', 'sortings']",6852
1010,Tree,F,2750.0,"['fft', 'graphs', 'trees']",27
1010,Store,E,2250.0,['data structures'],164
1010,Mars rover,D,1500.0,"['dfs and similar', 'implementation', 'trees']",1317
1010,Border,C,1000.0,['number theory'],2521
